sunrise,sunset,date
04:47,21:20,01/07/2017
04:48,21:20,02/07/2017
04:49,21:19,03/07/2017
04:49,21:19,04/07/2017
04:50,21:18,05/07/2017
04:51,21:18,06/07/2017
04:52,21:17,07/07/2017
04:53,21:17,08/07/2017
04:54,21:16,09/07/2017
04:55,21:15,10/07/2017
04:56,21:14,11/07/2017
04:57,21:13,12/07/2017
04:58,21:13,13/07/2017
04:59,21:12,14/07/2017
05:01,21:11,15/07/2017
05:02,21:10,16/07/2017
05:03,21:09,17/07/2017
05:04,21:07,18/07/2017
05:06,21:06,19/07/2017
05:07,21:05,20/07/2017
05:08,21:04,21/07/2017
05:10,21:03,22/07/2017
05:11,21:01,23/07/2017
05:12,21:00,24/07/2017
05:14,20:58,25/07/2017
05:15,20:57,26/07/2017
05:17,20:56,27/07/2017
05:18,20:54,28/07/2017
05:19,20:53,29/07/2017
05:21,20:51,30/07/2017
05:22,20:49,31/07/2017
05:24,20:48,01/08/2017
05:25,20:46,02/08/2017
05:27,20:44,03/08/2017
05:28,20:43,04/08/2017
05:30,20:41,05/08/2017
05:32,20:39,06/08/2017
05:33,20:37,07/08/2017
05:35,20:36,08/08/2017
05:36,20:34,09/08/2017
05:38,20:32,10/08/2017
05:39,20:30,11/08/2017
05:41,20:28,12/08/2017
05:42,20:26,13/08/2017
05:44,20:24,14/08/2017
05:46,20:22,15/08/2017
05:47,20:20,16/08/2017
05:49,20:18,17/08/2017
05:50,20:16,18/08/2017
05:52,20:14,19/08/2017
05:54,20:12,20/08/2017
05:55,20:10,21/08/2017
05:57,20:08,22/08/2017
05:58,20:06,23/08/2017
06:00,20:04,24/08/2017
06:02,20:01,25/08/2017
06:03,19:59,26/08/2017
06:05,19:57,27/08/2017
06:06,19:55,28/08/2017
06:08,19:53,29/08/2017
06:10,19:50,30/08/2017
06:11,19:48,31/08/2017
06:13,19:46,01/09/2017
06:14,19:44,02/09/2017
06:16,19:42,03/09/2017
06:18,19:39,04/09/2017
06:19,19:37,05/09/2017
06:21,19:35,06/09/2017
06:22,19:33,07/09/2017
06:24,19:30,08/09/2017
06:25,19:28,09/09/2017
06:27,19:26,10/09/2017
06:29,19:23,11/09/2017
06:30,19:21,12/09/2017
06:32,19:19,13/09/2017
06:33,19:17,14/09/2017
06:35,19:14,15/09/2017
06:37,19:12,16/09/2017
06:38,19:10,17/09/2017
06:40,19:07,18/09/2017
06:41,19:05,19/09/2017
06:43,19:03,20/09/2017
06:45,19:00,21/09/2017
06:46,18:58,22/09/2017
06:48,18:56,23/09/2017
06:49,18:53,24/09/2017
06:51,18:51,25/09/2017
06:53,18:49,26/09/2017
06:54,18:47,27/09/2017
06:56,18:44,28/09/2017
06:58,18:42,29/09/2017
06:59,18:40,30/09/2017
07:01,18:37,01/10/2017
07:02,18:35,02/10/2017
07:04,18:33,03/10/2017
07:06,18:31,04/10/2017
07:07,18:28,05/10/2017
07:09,18:26,06/10/2017
07:11,18:24,07/10/2017
07:12,18:22,08/10/2017
07:14,18:20,09/10/2017
07:16,18:17,10/10/2017
07:17,18:15,11/10/2017
07:19,18:13,12/10/2017
07:21,18:11,13/10/2017
07:22,18:09,14/10/2017
07:24,18:06,15/10/2017
07:26,18:04,16/10/2017
07:28,18:02,17/10/2017
07:29,18:00,18/10/2017
07:31,17:58,19/10/2017
07:33,17:56,20/10/2017
07:34,17:54,21/10/2017
07:36,17:52,22/10/2017
07:38,17:50,23/10/2017
07:40,17:48,24/10/2017
07:41,17:46,25/10/2017
07:43,17:44,26/10/2017
07:45,17:42,27/10/2017
07:47,17:40,28/10/2017
06:48,16:38,29/10/2017
06:50,16:36,30/10/2017
06:52,16:35,31/10/2017
06:54,16:33,01/11/2017
06:56,16:31,02/11/2017
06:57,16:29,03/11/2017
06:59,16:27,04/11/2017
07:01,16:26,05/11/2017
07:03,16:24,06/11/2017
07:04,16:22,07/11/2017
07:06,16:21,08/11/2017
07:08,16:19,09/11/2017
07:10,16:18,10/11/2017
07:11,16:16,11/11/2017
07:13,16:15,12/11/2017
07:15,16:13,13/11/2017
07:17,16:12,14/11/2017
07:18,16:10,15/11/2017
07:20,16:09,16/11/2017
07:22,16:08,17/11/2017
07:23,16:07,18/11/2017
07:25,16:05,19/11/2017
07:27,16:04,20/11/2017
07:28,16:03,21/11/2017
07:30,16:02,22/11/2017
07:32,16:01,23/11/2017
07:33,16:00,24/11/2017
07:35,15:59,25/11/2017
07:36,15:58,26/11/2017
07:38,15:57,27/11/2017
07:39,15:56,28/11/2017
07:41,15:56,29/11/2017
07:42,15:55,30/11/2017
