"","date","max_temp","min_temp","mean_temp","precip_mm","max_hum","min_hum","mean_hum","max_wind","mean_wind"
"1","2017-07-09"," 27.3"," 16.9"," 22.1"," 0"," 89"," 45"," 65"," 23"," 4"
"2","2017-07-10"," 25.1"," 17.2"," 21.2"," 0"," 82"," 41"," 62"," 19"," 6"
"3","2017-07-11"," 19.6"," 14.3"," 16.9"," 24.6"," 95"," 66"," 79"," 34"," 5"
"4","2017-07-12"," 21.7"," 13.7"," 17.6"," 8.4"," 96"," 43"," 74"," 42"," 9"
"5","2017-07-13"," 22.5"," 11.7"," 17.1"," 0"," 87"," 41"," 60"," 21"," 2"
"6","2017-07-14"," 20.6"," 14.8"," 17.7"," 0.3"," 87"," 48"," 66"," 29"," 6"
"7","2017-07-15"," 21.6"," 15.7"," 18.7"," 0"," 84"," 67"," 74"," 26"," 4"
"8","2017-07-16"," 25.3"," 18.1"," 21.7"," 0"," 86"," 63"," 77"," 23"," 5"
"9","2017-07-17"," 26.3"," 14.9"," 20.6"," 0"," 83"," 33"," 57"," 32"," 5"
"10","2017-07-18"," 25.3"," 16.4"," 20.8"," 0"," 81"," 45"," 66"," 39"," 6"
"11","2017-07-19"," 23.4"," 18"," 20.7"," 8.6"," 92"," 69"," 82"," 34"," 6"
"12","2017-07-20"," 20.4"," 14.9"," 17.7"," 1.3"," 92"," 42"," 74"," 37"," 7"
"13","2017-07-21"," 21.8"," 13.3"," 17.6"," 3.3"," 87"," 48"," 66"," 45"," 9"
"14","2017-07-22"," 18.9"," 12.9"," 15.9"," 13.7"," 94"," 61"," 85"," 29"," 4"
"15","2017-07-23"," 19.9"," 11.4"," 15.7"," 8.9"," 95"," 61"," 82"," 31"," 3"
"16","2017-07-24"," 16.6"," 13.3"," 15"," 1.5"," 95"," 78"," 86"," 40"," 10"
"17","2017-07-25"," 23.1"," 13.7"," 18.4"," 0"," 90"," 53"," 74"," 26"," 6"
"18","2017-07-26"," 21.8"," 15.1"," 18.4"," 1"," 92"," 71"," 83"," 35"," 7"
"19","2017-07-27"," 20.4"," 14.3"," 17.4"," 5.8"," 89"," 60"," 77"," 29"," 6"
"20","2017-07-28"," 20.8"," 14.1"," 17.4"," 0.3"," 89"," 57"," 78"," 42"," 9"
"21","2017-07-29"," 20.8"," 15.3"," 18.1"," 6.6"," 94"," 58"," 82"," 27"," 4"
"22","2017-07-30"," 20.4"," 14.3"," 17.3"," 22.1"," 94"," 55"," 76"," 37"," 7"
"23","2017-07-31"," 22.3"," 13.4"," 17.9"," 0"," 91"," 45"," 69"," 37"," 6"
"24","2017-08-01"," 22.4"," 13"," 17.7"," 0"," 91"," 50"," 70"," 29"," 5"
"25","2017-08-02"," 18.8"," 15.3"," 17"," 7.9"," 93"," 68"," 84"," 43"," 9"
"26","2017-08-03"," 21"," 15.3"," 18.2"," 1.3"," 93"," 62"," 77"," 47"," 12"
"27","2017-08-04"," 21.6"," 15.5"," 18.5"," 0"," 82"," 55"," 70"," 29"," 7"
"28","2017-08-05"," 19.7"," 13.4"," 16.4"," 1.5"," 90"," 48"," 68"," 40"," 4"
"29","2017-08-06"," 21.7"," 11.2"," 16.4"," 0"," 90"," 40"," 67"," 27"," 4"
"30","2017-08-07"," 21"," 13.5"," 17.3"," 0"," 92"," 65"," 80"," 21"," 4"
"31","2017-08-08"," 17.6"," 13.4"," 15.6"," 0"," 94"," 75"," 85"," 27"," 5"
"32","2017-08-09"," 15.1"," 13.2"," 14.2"," 30.7"," 95"," 84"," 91"," 32"," 9"
"33","2017-08-10"," 20.3"," 11.9"," 16.1"," 0"," 91"," 49"," 74"," 42"," 9"
"34","2017-08-11"," 22"," 10.6"," 16.3"," 0"," 94"," 48"," 75"," 32"," 4"
"35","2017-08-12"," 21.4"," 16.5"," 18.9"," 0"," 92"," 51"," 71"," 29"," 5"
"36","2017-08-13"," 22.9"," 11.9"," 17.4"," 0"," 81"," 36"," 57"," 26"," 3"
"37","2017-08-14"," 24.3"," 13"," 18.7"," 0"," 84"," 46"," 62"," 26"," 3"
"38","2017-08-15"," 23.9"," 15.3"," 19.6"," 0"," 82"," 44"," 64"," 27"," 4"
"39","2017-08-16"," 22.5"," 12.6"," 17.5"," 0"," 83"," 46"," 66"," 29"," 5"
"40","2017-08-17"," 24.6"," 15.6"," 20.1"," 3.8"," 94"," 50"," 78"," 32"," 8"
"41","2017-08-18"," 20.4"," 13.6"," 17"," 8.6"," 92"," 54"," 76"," 43"," 7"
"42","2017-08-19"," 19.4"," 13.2"," 16.3"," 0"," 88"," 47"," 68"," 35"," 8"
"43","2017-08-20"," 20.7"," 11.1"," 15.9"," 2.8"," 93"," 47"," 72"," 27"," 3"
"44","2017-08-21"," 19.1"," 13.7"," 16.3"," 2.8"," 96"," 81"," 90"," 18"," 2"
"45","2017-08-22"," 22.8"," 17.2"," 20"," 0.5"," 92"," 68"," 82"," 24"," 3"
"46","2017-08-23"," 21.7"," 16.7"," 19.2"," 0"," 94"," 60"," 79"," 29"," 4"
"47","2017-08-24"," 20.8"," 13.4"," 17.1"," 0"," 92"," 54"," 73"," 26"," 3"
"48","2017-08-25"," 25.1"," 12.7"," 18.8"," 0"," 92"," 47"," 71"," 18"," 1"
"49","2017-08-26"," 25.1"," 14.4"," 19.8"," 0"," 91"," 43"," 69"," 16"," 2"
"50","2017-08-27"," 26.3"," 15.6"," 20.8"," 0"," 83"," 43"," 65"," 18"," 3"
"51","2017-08-28"," 28.5"," 15.6"," 22"," 0"," 93"," 45"," 70"," 16"," 1"
"52","2017-08-29"," 25.4"," 16.5"," 20.9"," 0"," 87"," 53"," 72"," 32"," 3"
"53","2017-08-30"," 16.4"," 11.7"," 14.1"," 6.3"," 93"," 76"," 87"," 32"," 6"
"54","2017-08-31"," 20.6"," 9.6"," 15.1"," 0.3"," 96"," 48"," 74"," 24"," 2"
"55","2017-09-01"," 20.7"," 9.8"," 15.2"," 0"," 94"," 45"," 69"," 29"," 3"
"56","2017-09-02"," 21.9"," 10.5"," 16.2"," 0"," 90"," 42"," 68"," 18"," 2"
"57","2017-09-03"," 18.2"," 12.4"," 15.3"," 0"," 90"," 57"," 79"," 37"," 6"
"58","2017-09-04"," 22.1"," 14.1"," 18.1"," 2.8"," 95"," 78"," 88"," 27"," 4"
"59","2017-09-05"," 20.6"," 14.8"," 17.7"," 0.5"," 90"," 72"," 85"," 26"," 7"
"60","2017-09-06"," 18.6"," 12.4"," 15.6"," 0"," 89"," 51"," 72"," 29"," 6"
